Model,Year,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Price_USD,Sales_Volume,Sales_Classification
M5,2015,Asia,Red,Hybrid,Manual,3.7,188054,48895,4849,Low
X1,2024,North America,White,Electric,Manual,2.3,132413,94875,150,Low
M5,2020,South America,White,Petrol,Automatic,2.8,127756,110067,2096,Low
i8,2016,South America,Red,Electric,Automatic,4.0,160632,54434,6882,Low
i8,2021,Africa,Blue,Diesel,Automatic,2.1,93708,33804,8879,High
i8,2019,Asia,Blue,Petrol,Automatic,2.4,176282,51166,6540,Low
X1,2021,South America,Black,Hybrid,Automatic,2.0,160873,77929,6561,Low
M3,2017,Asia,Silver,Petrol,Manual,1.9,178128,68328,4924,Low
X5,2016,Europe,Grey,Diesel,Automatic,1.8,21013,105965,1091,Low
X3,2022,Europe,White,Hybrid,Manual,2.5,59711,118387,9615,High
X1,2018,North America,White,Electric,Manual,4.1,987,74259,4861,Low
i8,2014,Middle East,Silver,Petrol,Automatic,4.1,152566,105660,4445,Low
X3,2022,Asia,Silver,Electric,Manual,1.5,51689,119768,1231,Low
X6,2021,Middle East,Red,Hybrid,Automatic,3.8,5166,99788,5770,Low
M5,2022,North America,Grey,Diesel,Automatic,3.7,188416,98665,4534,Low
X1,2017,Europe,Blue,Diesel,Automatic,3.3,84931,105690,6815,Low
X5,2019,North America,Red,Diesel,Automatic,2.8,3535,42097,2302,Low
X1,2018,Europe,Grey,Electric,Automatic,2.7,173480,35826,8785,High
M3,2017,North America,Black,Hybrid,Manual,2.3,117219,117271,1065,Low
X5,2015,South America,Blue,Petrol,Manual,2.6,55693,84890,6550,Low
i8,2022,Africa,Black,Petrol,Automatic,3.0,6378,82477,7963,High
X3,2017,Africa,Silver,Diesel,Automatic,4.6,191787,106961,4514,Low
X3,2014,Africa,Black,Petrol,Automatic,3.6,120967,72300,1009,Low
X6,2020,Africa,White,Petrol,Automatic,4.3,111933,66302,8439,High
M3,2016,Africa,Red,Electric,Automatic,2.8,30795,106216,7591,High
i3,2014,Asia,Silver,Hybrid,Manual,3.6,65229,80860,8374,High
i3,2017,Middle East,Grey,Petrol,Manual,4.1,119893,102195,447,Low
X1,2024,Asia,Black,Diesel,Manual,3.2,163711,77230,6202,Low
X3,2020,South America,Red,Petrol,Automatic,4.5,184828,103848,5050,Low
i8,2022,Europe,Silver,Petrol,Automatic,2.7,111628,101076,8497,High
i8,2016,North America,Black,Electric,Manual,4.2,67820,119113,3375,Low
M3,2022,Asia,Red,Petrol,Manual,3.9,140997,36584,2425,Low
X1,2015,Africa,Red,Electric,Manual,4.5,110635,70524,1261,Low
X6,2024,Africa,White,Petrol,Automatic,4.8,139544,31056,131,Low
X3,2018,Asia,White,Diesel,Automatic,4.8,82998,91802,6602,Low
X6,2018,Middle East,White,Hybrid,Automatic,2.2,136994,90295,9757,High
i8,2021,Africa,Red,Hybrid,Manual,2.6,35919,89547,7973,High
M3,2016,Asia,Black,Petrol,Automatic,2.6,187900,80512,4915,Low
i3,2016,Africa,Blue,Electric,Manual,1.9,64075,59979,6682,Low
M3,2022,South America,Grey,Petrol,Manual,2.0,3574,80191,5333,Low
i8,2015,Asia,Blue,Diesel,Automatic,4.2,76592,87021,1740,Low
i3,2016,Asia,White,Diesel,Manual,4.2,106021,36717,9436,High
i8,2020,Europe,Black,Electric,Automatic,4.4,178287,56130,698,Low
M5,2023,Middle East,Red,Electric,Manual,3.6,145675,72048,4755,Low
X1,2015,Asia,Silver,Diesel,Manual,4.6,165179,108251,1684,Low
X1,2015,Asia,Blue,Diesel,Manual,3.2,9429,115615,9780,High
i3,2018,South America,Silver,Petrol,Manual,3.7,83747,58991,6659,Low
M5,2024,Asia,Red,Diesel,Manual,3.5,64504,74707,246,Low
i3,2022,Middle East,Red,Diesel,Automatic,4.5,70826,67939,7335,High
M3,2017,South America,Red,Diesel,Automatic,2.1,60690,58558,8379,High
i8,2014,North America,Black,Hybrid,Manual,2.2,92749,108009,4776,Low
i3,2024,South America,White,Electric,Automatic,4.2,84327,52615,6462,Low
X6,2014,Europe,Red,Diesel,Manual,3.2,102179,102814,6871,Low
M5,2016,Middle East,Black,Diesel,Automatic,3.4,102338,90346,5326,Low
i3,2023,Europe,Grey,Hybrid,Manual,2.3,93898,34721,2432,Low
X6,2024,Middle East,Red,Petrol,Automatic,4.1,1463,96230,6012,Low
M3,2024,South America,Blue,Hybrid,Automatic,2.3,19407,94284,9491,High
X6,2020,North America,Red,Hybrid,Manual,1.7,126292,84693,8177,High
X5,2021,Africa,Black,Electric,Automatic,1.7,151693,100426,8274,High
X1,2015,Europe,Silver,Hybrid,Automatic,2.8,196891,86676,7957,High
i3,2023,North America,Red,Hybrid,Automatic,4.3,75995,45532,9463,High
M5,2020,Asia,White,Diesel,Manual,1.6,191570,78719,2109,Low
i3,2014,Middle East,White,Hybrid,Automatic,4.6,52280,53512,5205,Low
M5,2016,Middle East,Grey,Hybrid,Automatic,4.7,105036,71813,8257,High
M3,2014,Middle East,Blue,Petrol,Manual,1.5,169911,99564,1931,Low
i3,2016,North America,Black,Hybrid,Automatic,4.4,36790,61218,5639,Low
M5,2022,North America,Red,Hybrid,Automatic,2.6,7012,43072,982,Low
X5,2022,Africa,Grey,Electric,Manual,4.5,14654,62570,679,Low
M5,2020,North America,Black,Petrol,Manual,1.7,18748,34636,6918,Low
M5,2022,Middle East,Black,Petrol,Manual,2.3,34468,35073,7561,High
i8,2020,Middle East,Grey,Electric,Manual,2.0,83567,68197,646,Low
X1,2019,Europe,Silver,Diesel,Manual,4.5,127667,53135,6697,Low
i3,2016,Middle East,Blue,Diesel,Manual,1.9,43230,53149,4012,Low
M5,2019,South America,Silver,Petrol,Manual,1.8,109824,85402,1882,Low
X6,2024,Africa,Red,Petrol,Automatic,2.6,58327,102836,5676,Low
M3,2014,Asia,Grey,Diesel,Manual,3.7,95285,111875,8929,High
X3,2020,Middle East,Blue,Electric,Automatic,4.0,77485,91135,8068,High
i8,2015,South America,Red,Hybrid,Manual,4.6,41434,72819,9330,High
X6,2014,Asia,White,Diesel,Manual,3.4,180175,85972,2950,Low
M5,2021,Asia,Silver,Diesel,Manual,2.8,198391,99079,7097,High
M3,2024,South America,Silver,Diesel,Manual,4.7,26580,63095,6011,Low
X1,2019,Europe,Silver,Diesel,Manual,4.9,67684,98732,7572,High
X1,2024,Middle East,Grey,Electric,Automatic,2.6,144454,82130,6384,Low
i8,2018,Europe,Blue,Electric,Automatic,3.7,164736,93892,1427,Low
i3,2022,Middle East,Red,Hybrid,Automatic,2.1,182402,105633,9144,High
X5,2015,Europe,White,Electric,Manual,1.7,136192,59772,6800,Low
i3,2022,Middle East,Black,Petrol,Manual,4.5,18466,90796,1002,Low
X6,2019,North America,Silver,Diesel,Automatic,3.4,41743,30043,9968,High
X1,2022,Middle East,White,Electric,Automatic,4.6,98042,32478,5084,Low
M3,2020,Europe,Grey,Diesel,Automatic,4.8,107776,88743,2449,Low
M5,2015,Europe,White,Electric,Manual,4.9,169503,99137,5859,Low
X6,2020,Europe,Blue,Petrol,Automatic,3.5,92755,91528,3644,Low
i3,2016,Africa,Silver,Hybrid,Automatic,3.5,193823,76125,3188,Low
i8,2024,Asia,Silver,Hybrid,Automatic,2.9,118801,56783,6131,Low
M5,2015,North America,White,Electric,Automatic,3.7,30893,33795,3923,Low
M5,2023,North America,Red,Hybrid,Manual,4.1,11116,52068,5062,Low
M3,2020,Africa,Red,Electric,Automatic,1.8,121683,68852,1292,Low
X6,2020,South America,Black,Hybrid,Automatic,2.7,106937,78273,4121,Low
X3,2024,Europe,Blue,Petrol,Manual,3.2,6623,71303,5491,Low
X3,2024,Asia,Red,Hybrid,Manual,4.9,125517,116184,2026,Low
X1,2021,Africa,Blue,Diesel,Manual,1.9,184476,80785,4489,Low
M3,2020,Africa,Red,Petrol,Automatic,4.2,173024,94219,6673,Low
i8,2015,Africa,Silver,Petrol,Automatic,4.5,119167,82442,3654,Low
M5,2023,North America,Grey,Hybrid,Manual,3.5,130115,33140,8678,High
X1,2021,Europe,Blue,Hybrid,Automatic,4.9,140063,41743,8609,High
X6,2022,South America,White,Diesel,Manual,1.6,75910,40639,4216,Low
M5,2019,Middle East,White,Diesel,Automatic,2.3,188557,67786,1917,Low
M5,2014,South America,Black,Electric,Manual,2.6,120225,88703,2720,Low
X3,2018,Asia,White,Electric,Automatic,4.2,83140,33120,2279,Low
X1,2021,Africa,White,Diesel,Automatic,3.8,153976,47258,8041,High
i3,2015,South America,Black,Electric,Automatic,1.7,86604,107489,1566,Low
X1,2022,Asia,Black,Hybrid,Manual,2.1,121432,118657,3614,Low
i3,2024,Middle East,Blue,Petrol,Manual,2.9,31265,77232,9202,High
X6,2019,South America,Silver,Electric,Manual,2.7,9001,100467,8425,High
X6,2021,South America,White,Diesel,Manual,1.9,36587,112829,8185,High
M5,2015,South America,Silver,Hybrid,Automatic,4.3,5679,95256,3650,Low
X1,2014,Africa,Silver,Electric,Automatic,2.9,140304,44981,3008,Low
X6,2024,Middle East,Black,Hybrid,Manual,2.1,134414,43529,485,Low
M5,2015,Asia,Black,Hybrid,Manual,1.7,66073,58484,4840,Low
X6,2019,Africa,Red,Diesel,Manual,4.1,100297,87339,5811,Low
X5,2022,North America,Silver,Electric,Manual,4.9,171220,55919,7424,High
i3,2015,North America,Blue,Hybrid,Manual,2.3,172972,98806,2545,Low
X5,2024,Middle East,Grey,Diesel,Automatic,4.3,49854,62795,7833,High
M5,2021,Middle East,Blue,Hybrid,Manual,2.9,75291,104495,4765,Low
X5,2017,South America,Black,Diesel,Manual,2.1,13917,70447,1225,Low
X1,2014,Europe,White,Diesel,Automatic,3.4,175064,36859,3930,Low
i3,2023,Middle East,Black,Petrol,Manual,1.9,30652,103590,9736,High
X6,2024,Africa,Blue,Diesel,Manual,3.4,121713,99228,5657,Low
M5,2020,Africa,Black,Electric,Automatic,2.4,13775,44885,7607,High
X5,2014,Asia,White,Electric,Manual,3.8,144152,63987,6260,Low
X6,2024,Asia,Grey,Petrol,Automatic,4.6,181320,103580,2318,Low
X1,2024,Africa,Red,Electric,Manual,2.9,74963,87221,4013,Low
M5,2017,Africa,Black,Hybrid,Automatic,3.3,101969,32689,8360,High
M3,2016,Asia,Red,Petrol,Manual,4.5,23260,48660,7895,High
X6,2020,North America,Red,Hybrid,Automatic,3.8,29860,65772,8300,High
X1,2014,Middle East,Red,Diesel,Automatic,3.3,143802,64133,781,Low
M5,2015,North America,Blue,Diesel,Manual,4.9,395,74742,1836,Low
X1,2015,Asia,Grey,Electric,Automatic,2.8,110175,38540,5257,Low
i8,2019,Asia,White,Diesel,Manual,2.1,27147,55061,914,Low
i3,2019,Africa,Black,Hybrid,Manual,4.2,2982,76524,5912,Low
M3,2015,Africa,Black,Electric,Manual,4.7,165175,58858,1008,Low
X6,2023,South America,Red,Petrol,Manual,1.9,95738,59813,3855,Low
X5,2017,Middle East,Grey,Diesel,Automatic,2.6,60062,69061,9707,High
X1,2014,Asia,Blue,Diesel,Manual,3.6,109550,72062,9730,High
M3,2015,Asia,Blue,Petrol,Manual,4.2,134657,95464,677,Low
X3,2014,Africa,Red,Hybrid,Automatic,3.4,119859,69631,6427,Low
X5,2017,North America,Blue,Diesel,Automatic,4.7,195152,40521,2398,Low
X1,2015,Asia,Blue,Diesel,Manual,4.5,64307,88635,601,Low
i3,2024,Asia,Grey,Petrol,Automatic,4.4,17758,89366,5580,Low
X5,2014,Asia,Grey,Electric,Manual,4.7,188795,31030,3841,Low
X6,2019,Europe,Blue,Electric,Manual,3.2,176135,42799,5662,Low
X1,2022,Middle East,White,Hybrid,Automatic,2.2,189835,71763,9956,High
i8,2024,South America,Silver,Diesel,Manual,3.8,95578,108868,2359,Low
X5,2023,Africa,Grey,Diesel,Automatic,1.9,180001,103970,9554,High
i8,2019,North America,Grey,Electric,Manual,2.2,42697,56962,8983,High
M3,2019,Europe,White,Petrol,Automatic,3.3,24058,47483,8903,High
X5,2022,Africa,Black,Hybrid,Manual,1.7,9977,68721,7535,High
i8,2015,South America,Silver,Electric,Automatic,1.9,188360,52327,8131,High
M3,2022,Middle East,Blue,Electric,Manual,2.7,22608,50636,643,Low
i3,2015,South America,Grey,Electric,Automatic,2.7,155432,83595,3436,Low
M5,2014,North America,Blue,Hybrid,Automatic,4.8,52727,99545,9388,High
X1,2015,Europe,Silver,Diesel,Manual,1.6,112098,102611,3815,Low
X3,2016,North America,Black,Petrol,Manual,3.6,74030,102221,4669,Low
M3,2022,Middle East,Black,Electric,Manual,2.7,52427,71394,9329,High
X3,2015,Asia,White,Petrol,Automatic,3.0,35887,91255,3155,Low
X1,2015,Africa,Grey,Hybrid,Manual,4.9,81574,69502,625,Low
X3,2024,North America,Black,Petrol,Manual,4.6,89093,37333,2345,Low
M3,2014,Asia,White,Diesel,Automatic,4.5,129207,37975,3177,Low
i3,2018,North America,Silver,Diesel,Automatic,2.8,107977,45533,8987,High
X6,2018,Africa,Blue,Hybrid,Manual,1.5,87772,111628,7879,High
M5,2018,Africa,Silver,Diesel,Automatic,2.1,153096,82397,7362,High
M5,2020,Middle East,Silver,Petrol,Manual,4.6,113906,106365,820,Low
X1,2017,Africa,Blue,Hybrid,Automatic,3.7,63514,108196,2354,Low
X3,2022,Asia,Silver,Diesel,Automatic,3.8,179812,119155,9126,High
X5,2022,Middle East,Grey,Hybrid,Manual,3.8,44212,94678,2696,Low
X6,2020,Middle East,Red,Diesel,Automatic,2.6,162249,88334,1781,Low
X1,2021,Africa,Red,Diesel,Manual,3.5,31400,119104,5714,Low
i8,2016,North America,Grey,Diesel,Manual,2.0,64199,98941,7344,High
X6,2022,South America,Blue,Hybrid,Automatic,2.9,6789,38570,8557,High
X6,2014,North America,Red,Electric,Manual,2.8,132868,78912,2941,Low
i3,2019,Middle East,Black,Diesel,Manual,4.7,109364,84836,4383,Low
X3,2020,North America,White,Hybrid,Manual,4.2,188041,115795,7578,High
X3,2019,North America,Blue,Electric,Manual,3.2,60625,84041,224,Low
i8,2023,Middle East,Red,Petrol,Manual,2.2,22419,44097,2853,Low
i8,2018,Europe,Silver,Electric,Automatic,2.1,102620,92496,1335,Low
i3,2014,South America,White,Electric,Automatic,4.2,294,48875,3126,Low
M5,2020,Middle East,Red,Petrol,Automatic,4.2,123264,106819,8054,High
i8,2016,Middle East,Blue,Electric,Manual,2.5,33326,112426,7937,High
i8,2019,Africa,Silver,Hybrid,Automatic,4.0,118754,41735,4793,Low
X3,2015,Europe,Grey,Hybrid,Manual,3.5,110383,32453,5653,Low
X6,2022,North America,Grey,Hybrid,Manual,1.9,167925,59887,2269,Low
i8,2022,Europe,Blue,Diesel,Manual,2.6,167889,97488,8408,High
M3,2019,South America,Red,Electric,Manual,4.1,80253,114926,9889,High
X6,2014,North America,Grey,Diesel,Automatic,3.5,24178,99607,913,Low
M5,2019,Europe,White,Hybrid,Automatic,1.9,73815,47114,6616,Low
M5,2019,Asia,White,Diesel,Automatic,2.3,96481,77949,3882,Low
M5,2016,Middle East,Black,Diesel,Automatic,2.5,133441,94390,7715,High
M3,2016,South America,Red,Hybrid,Manual,3.6,150452,107837,9205,High
X1,2017,South America,Silver,Electric,Manual,4.3,109768,51194,1236,Low
M5,2020,Middle East,Red,Electric,Manual,3.2,44420,84038,2523,Low
X5,2014,Middle East,Blue,Hybrid,Manual,4.5,144543,42685,1356,Low
X6,2022,Africa,Black,Electric,Automatic,3.6,86786,83317,6070,Low
i3,2023,North America,Black,Petrol,Manual,3.2,114109,73907,2598,Low
i3,2018,Europe,Grey,Petrol,Manual,2.6,7335,85947,6130,Low
i8,2024,South America,Blue,Electric,Manual,1.5,35756,49080,6470,Low
X6,2023,South America,Blue,Electric,Automatic,2.5,192856,95598,7389,High
X3,2016,North America,Red,Hybrid,Automatic,2.7,122835,55207,4644,Low
X3,2020,North America,Silver,Diesel,Automatic,4.5,130798,49745,2928,Low
X5,2017,Africa,White,Petrol,Automatic,1.7,98789,85962,7804,High
i8,2015,Europe,Red,Diesel,Manual,4.7,52362,95046,4967,Low
i8,2021,South America,Grey,Petrol,Manual,1.5,71885,62524,3014,Low
X5,2019,Asia,Black,Diesel,Automatic,3.1,154590,113057,3665,Low
X1,2024,North America,Black,Hybrid,Automatic,3.0,87669,110811,3269,Low
M5,2019,Middle East,Blue,Electric,Automatic,3.9,77905,102310,7000,High
M5,2017,North America,Grey,Electric,Automatic,2.3,106505,117649,9585,High
X5,2021,Europe,Black,Hybrid,Manual,4.4,109285,85852,5785,Low
X3,2017,North America,White,Petrol,Automatic,3.0,41685,95153,5720,Low
X6,2020,Europe,Blue,Hybrid,Manual,2.5,195482,67709,5797,Low
i8,2024,North America,Red,Electric,Automatic,3.1,152703,70808,8127,High
X1,2024,Asia,Black,Electric,Manual,3.7,17889,117309,8777,High
X1,2020,Asia,Silver,Electric,Manual,2.5,175983,65707,1001,Low
M5,2024,Middle East,Black,Diesel,Manual,2.9,98966,60187,5189,Low
X6,2019,Africa,Blue,Electric,Manual,2.3,35647,80593,1312,Low
i8,2020,Africa,Grey,Hybrid,Manual,1.5,198752,99634,8857,High
i3,2014,North America,Blue,Electric,Automatic,2.5,122523,94115,5951,Low
X5,2022,Middle East,Silver,Diesel,Manual,3.3,5091,57272,3058,Low
X5,2019,Middle East,White,Petrol,Automatic,2.9,44522,98884,1860,Low
X5,2016,Asia,Grey,Electric,Automatic,2.7,182284,70891,3201,Low
i8,2018,North America,Red,Electric,Manual,1.7,23671,92704,4884,Low
X6,2020,South America,Silver,Diesel,Automatic,4.8,122337,102779,8280,High
M3,2016,Europe,Blue,Hybrid,Manual,4.3,117896,36864,8897,High
i8,2019,Asia,Grey,Hybrid,Automatic,4.9,126845,36930,5565,Low
i3,2014,North America,Blue,Electric,Automatic,2.9,77388,117235,9220,High
i3,2024,Middle East,Grey,Electric,Manual,2.0,22880,91213,613,Low
i8,2018,Middle East,Red,Petrol,Automatic,4.3,133385,58563,8818,High
X6,2024,North America,White,Electric,Manual,3.3,157411,99084,1063,Low
M3,2014,Africa,Red,Diesel,Automatic,4.3,8741,36686,1926,Low
M3,2021,Asia,Silver,Hybrid,Automatic,4.7,23115,118678,4295,Low
X3,2022,North America,Grey,Diesel,Automatic,3.3,107562,86817,9330,High
i3,2021,Asia,Blue,Hybrid,Automatic,1.5,113756,77562,433,Low
i8,2017,Africa,White,Diesel,Manual,3.5,107451,30198,8892,High
X3,2023,Asia,Black,Petrol,Manual,3.7,65083,102788,5191,Low
X1,2015,Europe,White,Electric,Automatic,2.5,26315,89145,3368,Low
X6,2018,South America,White,Electric,Automatic,3.3,193577,71819,9848,High
M3,2016,Africa,Silver,Electric,Manual,3.5,48385,108337,8894,High
X1,2018,Asia,Blue,Electric,Automatic,3.1,3515,65621,9166,High
X6,2019,Asia,Black,Petrol,Automatic,3.1,126349,63757,5661,Low
X5,2014,North America,Black,Hybrid,Automatic,2.0,73693,38999,8529,High
i3,2015,North America,Blue,Hybrid,Automatic,2.0,40494,114066,9259,High
X5,2017,South America,Blue,Diesel,Manual,3.9,141691,77787,3657,Low
M5,2020,South America,Red,Petrol,Manual,3.4,143746,82588,9694,High
M5,2014,Europe,Black,Petrol,Manual,2.6,27509,110155,8290,High
i8,2014,Middle East,Grey,Diesel,Automatic,3.5,160061,38906,9979,High
X3,2014,Europe,Blue,Hybrid,Manual,4.2,169106,65669,8654,High
M3,2018,South America,Black,Electric,Manual,2.7,63059,86174,2696,Low
M3,2015,Asia,Red,Diesel,Automatic,4.7,23436,94575,5384,Low
X5,2014,North America,White,Hybrid,Automatic,2.8,122407,59006,3383,Low
M3,2021,Europe,Red,Electric,Automatic,2.6,4216,90718,7753,High
i3,2016,Middle East,Silver,Diesel,Manual,1.6,180993,57503,6814,Low
X6,2022,South America,White,Electric,Automatic,2.8,134373,65904,1293,Low
i8,2015,South America,Grey,Petrol,Manual,4.3,51240,34111,8817,High
X6,2019,North America,Blue,Electric,Manual,2.5,103511,38073,5016,Low
X5,2014,Asia,White,Hybrid,Manual,4.8,31450,71930,9457,High
X3,2021,Africa,Silver,Hybrid,Manual,4.4,103048,80889,7009,High
X3,2024,Asia,Black,Diesel,Manual,5.0,65525,68970,6475,Low
i8,2018,South America,Red,Petrol,Manual,3.5,182543,47963,6922,Low
M3,2024,Africa,Blue,Electric,Automatic,4.4,16290,60313,5560,Low
X3,2023,Europe,Grey,Electric,Automatic,3.2,124763,103049,9321,High
M5,2014,Europe,Grey,Hybrid,Automatic,3.7,25419,107413,688,Low
X5,2023,Middle East,Silver,Electric,Automatic,3.8,18332,116928,9418,High
X6,2023,Middle East,Red,Petrol,Manual,4.1,193906,33801,1902,Low
X6,2020,Asia,Red,Petrol,Automatic,3.9,187058,49508,7401,High
X5,2019,Europe,Silver,Electric,Automatic,4.2,52896,112242,6139,Low
X5,2016,Middle East,Blue,Diesel,Manual,1.6,14113,81454,7303,High
X1,2019,Africa,Silver,Petrol,Manual,5.0,195061,54588,8427,High
i8,2018,Middle East,Red,Petrol,Automatic,3.5,128946,31786,1427,Low
X5,2020,Europe,Blue,Petrol,Automatic,2.8,45691,90039,1196,Low
i3,2014,Middle East,Blue,Electric,Manual,3.1,20529,33017,1032,Low
M3,2021,Middle East,White,Petrol,Manual,3.2,83500,89585,7822,High
i3,2016,South America,Grey,Petrol,Automatic,3.4,123750,99548,1060,Low
M3,2016,North America,Black,Diesel,Automatic,2.4,188324,118521,6306,Low
X5,2021,Europe,Silver,Electric,Manual,4.2,48301,85514,8352,High
X6,2014,Europe,Red,Hybrid,Manual,1.7,142926,85753,2446,Low
i3,2019,North America,Silver,Diesel,Automatic,3.7,37720,99315,2878,Low
i3,2019,Middle East,Red,Diesel,Manual,4.3,87019,68068,400,Low
i3,2020,Middle East,Silver,Hybrid,Automatic,4.1,192571,95319,879,Low
X1,2014,Africa,White,Electric,Automatic,2.5,112292,107748,7511,High
M3,2022,Asia,Silver,Diesel,Manual,2.0,12883,91120,3314,Low
X3,2019,Europe,White,Diesel,Manual,3.7,89423,56765,4432,Low
M3,2018,Europe,Blue,Hybrid,Automatic,3.3,340,38432,9119,High
X6,2018,Middle East,Black,Petrol,Automatic,2.1,72071,70939,2836,Low
X1,2023,Europe,White,Electric,Automatic,3.6,51565,44095,8413,High
M3,2018,Middle East,Grey,Electric,Manual,1.7,132446,73295,152,Low
X1,2022,South America,Black,Petrol,Automatic,3.4,146580,119606,449,Low
X1,2022,Europe,Blue,Electric,Manual,1.7,102210,82651,5419,Low
i8,2023,South America,Blue,Petrol,Manual,1.9,129148,57268,5193,Low
X5,2018,Middle East,Grey,Electric,Manual,2.7,118702,58350,7914,High
X1,2024,Middle East,Grey,Petrol,Manual,2.7,86356,67515,5280,Low
M3,2015,Middle East,Black,Hybrid,Automatic,4.4,81116,30583,7519,High
X6,2017,North America,Red,Electric,Manual,2.3,139039,78427,4163,Low
X5,2019,Middle East,Blue,Hybrid,Manual,1.8,150201,55095,9638,High
X5,2022,South America,Black,Petrol,Automatic,3.6,139888,41319,2966,Low
X1,2024,Europe,Grey,Hybrid,Manual,3.9,159897,31044,2651,Low
M5,2022,Middle East,Black,Petrol,Automatic,2.5,67084,118096,7658,High
X5,2021,Asia,Black,Electric,Automatic,1.6,137844,69840,278,Low
X6,2020,North America,Blue,Diesel,Manual,2.5,46419,70753,7184,High
i3,2023,Africa,Silver,Electric,Manual,2.5,99507,91459,6392,Low
X3,2023,North America,Blue,Electric,Manual,3.9,72908,75562,4518,Low
X1,2019,Europe,White,Petrol,Manual,4.0,113156,34347,2091,Low
i8,2022,Middle East,White,Hybrid,Automatic,1.7,126468,59954,3225,Low
X3,2019,Europe,Blue,Hybrid,Manual,2.9,151980,38796,243,Low
X1,2019,North America,Blue,Electric,Manual,1.7,162666,68908,9354,High
i8,2024,North America,Grey,Electric,Manual,2.9,70389,117148,9166,High
i8,2018,Africa,Blue,Diesel,Automatic,3.7,64015,106998,8254,High
i8,2015,Asia,Silver,Petrol,Manual,3.5,185196,40826,3672,Low
X5,2022,North America,White,Petrol,Automatic,4.5,73410,110609,3437,Low
X3,2016,Africa,Red,Electric,Manual,4.9,55121,113348,3243,Low
X5,2023,Africa,Red,Hybrid,Automatic,3.6,53330,102245,2308,Low
M5,2021,South America,White,Hybrid,Manual,4.5,110045,59237,9824,High
X6,2014,North America,Blue,Diesel,Manual,4.0,1709,40759,5141,Low
i3,2017,North America,Blue,Hybrid,Automatic,3.3,67519,112954,8047,High
i8,2021,North America,Black,Hybrid,Manual,2.5,178997,70555,9379,High
i8,2021,Europe,Red,Diesel,Automatic,4.2,174545,77348,4371,Low
M3,2015,Europe,Black,Petrol,Automatic,2.0,88692,93775,6604,Low
M5,2014,Europe,White,Diesel,Automatic,2.6,182722,70956,596,Low
X3,2022,Asia,Blue,Petrol,Automatic,4.4,104663,114132,5312,Low
X1,2018,Middle East,Silver,Diesel,Automatic,4.6,172221,56117,5191,Low
M5,2023,Africa,Black,Petrol,Automatic,1.8,99680,78693,4957,Low
X3,2021,South America,White,Diesel,Manual,4.6,72698,69912,4340,Low
X5,2022,South America,Blue,Electric,Manual,2.7,63549,30210,2770,Low
X3,2019,Asia,Red,Hybrid,Automatic,3.8,172237,98701,5051,Low
X1,2018,South America,White,Electric,Automatic,2.7,158843,32798,9314,High
M3,2022,Asia,Black,Diesel,Automatic,4.9,27150,58302,6715,Low
M3,2018,Middle East,Red,Hybrid,Automatic,2.5,119580,93152,5629,Low
X3,2023,Europe,Blue,Hybrid,Manual,3.3,32032,84928,503,Low
i8,2023,South America,Silver,Petrol,Automatic,1.8,101444,60101,4294,Low
M5,2018,Africa,Grey,Electric,Automatic,3.6,26750,60715,1366,Low
M3,2022,South America,Silver,Hybrid,Manual,1.6,130473,60187,5107,Low
i3,2021,Middle East,Grey,Diesel,Automatic,4.3,47964,65762,651,Low
X6,2016,North America,Red,Hybrid,Manual,2.7,44311,106314,1964,Low
X5,2018,North America,Black,Petrol,Automatic,3.3,197502,90313,6080,Low
M5,2022,Asia,Silver,Petrol,Manual,4.7,125877,102017,4935,Low
i8,2015,North America,Silver,Electric,Manual,1.8,7057,71744,8668,High
X3,2018,Middle East,Silver,Petrol,Manual,3.2,161546,40159,1668,Low
X6,2021,South America,Grey,Hybrid,Automatic,3.8,111765,105238,4439,Low
i3,2024,Europe,Silver,Hybrid,Automatic,3.6,169436,71846,4488,Low
i3,2021,Africa,Blue,Petrol,Automatic,2.4,126924,110956,3438,Low
X6,2024,Middle East,Blue,Hybrid,Manual,3.5,77151,97056,5279,Low
X6,2022,Asia,Blue,Hybrid,Automatic,3.9,101577,86847,2335,Low
M3,2023,Africa,Red,Electric,Automatic,2.4,88431,69081,5810,Low
M3,2014,South America,White,Petrol,Automatic,4.4,153300,62023,8295,High
i8,2019,Middle East,Grey,Hybrid,Automatic,3.1,22402,86260,5565,Low
X6,2019,South America,Red,Petrol,Automatic,5.0,49748,74130,7052,High
M5,2021,Middle East,Silver,Diesel,Manual,1.6,190833,108790,6844,Low
i3,2019,Asia,White,Electric,Automatic,2.8,68266,49405,5797,Low
M5,2017,Europe,Black,Petrol,Automatic,2.1,192770,75245,2995,Low
X6,2020,Asia,Grey,Electric,Manual,3.4,95404,100340,6021,Low
M3,2024,North America,White,Diesel,Automatic,2.4,52327,106338,5396,Low
X6,2014,North America,Red,Petrol,Automatic,2.2,104836,119295,1370,Low
M5,2023,South America,Grey,Electric,Manual,2.1,128970,98304,2206,Low
X6,2016,North America,Red,Diesel,Manual,4.6,41919,47520,2395,Low
M5,2015,Asia,Black,Diesel,Automatic,3.0,49159,98574,9721,High
X6,2022,Europe,Grey,Hybrid,Automatic,3.8,66330,97194,7787,High
i3,2019,South America,Blue,Petrol,Manual,4.3,56965,47280,3803,Low
